feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
0.5694746017957527,0.9193975961726845,0.554777032552987,0.6466637633139694,0.09853674522244882,0.07476021873921679,0.819077372414761,0.7965951715179341,0.9973199297960357,0.20424494806625593,1.0
0.11890303428654136,0.7011424638820466,0.6394579570967468,0.028453241863660383,0.02385526487218892,0.3584192035891328,0.7307855878990784,0.6917350490756736,0.588337709111457,0.28446393107529955,1.0
0.661379830892702,0.49127908879649007,0.10424609088316195,0.10615538606254105,0.5744380031704112,0.33710846566002406,0.9016446204215696,0.1688708404743794,0.4447179105712682,0.904410173564184,1.0
0.6484307667021038,0.013896182978382576,0.22867683836576957,0.953422509811433,0.8518256157193556,0.3481966602210691,0.5734031760264208,0.3371575203674636,0.9775712186281053,0.42721468012391306,0.0
0.20093365060231183,0.020756754655616994,0.6236995687717185,0.7084341208661697,0.1343437515252779,0.6031221464453157,0.2645991478555415,0.029571449617784795,0.7301937300042514,0.9384159924362553,1.0
0.5119529108016624,0.49758981941280434,0.1763078271007188,0.6387542868711339,0.8600553403663235,0.8060701854434824,0.42263613790342114,0.3015189337466164,0.5293350021118626,0.3133931750029436,0.0
0.3060366746035449,0.33206916776158135,0.0007601438324030818,0.04520158424129794,0.1048392179253812,0.5217683814866786,0.07063770354422039,0.26382638637503053,0.9358945643870252,0.09376988141615128,1.0
0.31780747856287916,0.971670370503138,0.6522670136349525,0.6032608995000801,0.19096674865163854,0.4872511886644413,0.9562925691613536,0.6385522025075542,0.8702287727640359,0.7150731686601536,0.0
0.73178640451726,0.8028095593248052,0.8186950663565732,0.13008620328492415,0.374751481990909,0.5009633038171016,0.6721386699414692,0.23761596402502028,0.9088896528117745,0.255632699002612,1.0
0.3097868404318307,0.3321719564332407,0.29282884225691397,0.7559221979034978,0.9930544875645191,0.6789900165436596,0.24467802000835648,0.4375677118859751,0.28666540829574827,0.2824668436524611,0.0
0.646752788029313,0.652889233555874,0.5383307174986794,0.5126679438325855,0.25164725583905756,0.02627096292719011,0.021055832767894134,0.42597771111233174,0.849933072346799,0.8670385835745813,1.0
0.767578711117116,0.39290923611766393,0.8154331984375542,0.0281828478390449,0.8679912508324437,0.18253552892461422,0.017890136986965066,0.7412649535896338,0.6075504021203074,0.13355774359411132,0.0
